schedule,year,measSOC
broadbalk_WWW_FYM2+straw.sch,1843,3567.913043
broadbalk_WWW_FYM2+straw.sch,1893,5296.956522
broadbalk_WWW_FYM2+straw.sch,1914,7047
broadbalk_WWW_FYM2+straw.sch,1936,6752.571429
broadbalk_WWW_FYM2+straw.sch,1944,6939.838509
broadbalk_WWW_FYM2+straw.sch,1966,7405.043478
broadbalk_WWW_FYM2+straw.sch,1987,7599.913043
broadbalk_WWW_FYM2+straw.sch,1992,8671.695652
broadbalk_WWW_FYM2+straw.sch,1997,8509.304348
broadbalk_WWW_FYM2+straw.sch,2000,8736.652174
broadbalk_WWW_FYM2+straw.sch,2005,8314.434783
broadbalk_WWW_N0+straw.sch,1843,3567.913043
broadbalk_WWW_N0+straw.sch,1865,3567.913043
broadbalk_WWW_N0+straw.sch,1881,3529.956522
broadbalk_WWW_N0+straw.sch,1893,2965.695652
broadbalk_WWW_N0+straw.sch,1914,3199.304348
broadbalk_WWW_N0+straw.sch,1936,3389.608696
broadbalk_WWW_N0+straw.sch,1944,3545.664596
broadbalk_WWW_N0+straw.sch,1966,3155.506211
broadbalk_WWW_N0+straw.sch,1987,3240
broadbalk_WWW_N0+straw.sch,1992,2772
broadbalk_WWW_N0+straw.sch,1997,2700
broadbalk_WWW_N0+straw.sch,2000,3096
broadbalk_WWW_N0+straw.sch,2005,2988
